year,tech_case_id,tech_case_cn,deployment_path_id,deployment_path_cn,cumulative_electrolyzer_gw,equipment_learning_rate,equipment_capex_factor,bop_epc_learning_rate,bop_epc_factor,energy_learning_rate,energy_consumption_factor,energy_consumption_kwh_per_kg,stack_cost_learning_rate,stack_cost_factor,stack_life_hours
2051,T0_no_learning,无学习,base,基准装机路径,1480.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2052,T0_no_learning,无学习,base,基准装机路径,1560.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2053,T0_no_learning,无学习,base,基准装机路径,1640.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2054,T0_no_learning,无学习,base,基准装机路径,1720.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2055,T0_no_learning,无学习,base,基准装机路径,1800.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2056,T0_no_learning,无学习,base,基准装机路径,1880.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2057,T0_no_learning,无学习,base,基准装机路径,1960.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2058,T0_no_learning,无学习,base,基准装机路径,2040.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2059,T0_no_learning,无学习,base,基准装机路径,2120.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2060,T0_no_learning,无学习,base,基准装机路径,2200.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,0.0,1.0,60000.0
2026,T1_conservative,技术学习-保守,slow,低装机路径,4.0,0.08,1.0,0.05,1.0,0.01,1.0,55.0,0.08,1.0,60000.0
2027,T1_conservative,技术学习-保守,slow,低装机路径,35.0,0.08,0.9348973401187111,0.05,0.9594338637928568,0.01,0.9919186430453357,54.555525367493466,0.08,0.9348973401187111,62520.69041825108
2028,T1_conservative,技术学习-保守,slow,低装机路径,50.0,0.08,0.8956330507611762,0.05,0.9344416938375721,0.01,0.9868020456376698,54.27411251007184,0.08,0.8956330507611762,64182.24954161972
2029,T1_conservative,技术学习-保守,slow,低装机路径,65.0,0.08,0.8678074683323143,0.05,0.9164743902788963,0.01,0.9830552152540123,54.06803683897068,0.08,0.8678074683323143,65432.587252133286
2030,T1_conservative,技术学习-保守,slow,低装机路径,80.0,0.08,0.8464,0.05,0.9024999999999999,0.01,0.9801,53.905499999999996,0.08,0.8464,66439.36846688628
2031,T1_conservative,技术学习-保守,slow,低装机路径,102.0,0.08,0.8220218997339989,0.05,0.8864196922482844,0.01,0.9766535587972275,53.71594573384751,0.08,0.8220218997339989,67637.024875341
2032,T1_conservative,技术学习-保守,slow,低装机路径,124.0,0.08,0.8029340009849212,0.05,0.8737004396402533,0.01,0.9738916930508941,53.56404311779917,0.08,0.8029340009849212,68615.47824346434
2033,T1_conservative,技术学习-保守,slow,低装机路径,146.0,0.08,0.7873126656752044,0.05,0.863204322430977,0.01,0.9715881069094938,53.43734588002216,0.08,0.7873126656752044,69444.55928713274
2034,T1_conservative,技术学习-保守,slow,低装机路径,168.0,0.08,0.7741311291551084,0.05,0.8542850286472492,0.01,0.969612817925985,53.32870498592917,0.08,0.7741311291551084,70165.04942582133
2035,T1_conservative,技术学习-保守,slow,低装机路径,190.0,0.08,0.7627557462727725,0.05,0.8465407813843175,0.01,0.9678842625473982,53.233634440106904,0.08,0.7627557462727725,70802.89573435324
2036,T1_conservative,技术学习-保守,slow,低装机路径,212.0,0.08,0.7527688104310784,0.05,0.8397050592127948,0.01,0.966347897631963,53.14913436975797,0.08,0.7527688104310784,71375.65734017786
2037,T1_conservative,技术学习-保守,slow,低装机路径,234.0,0.08,0.743880887073633,0.05,0.8335921671785326,0.01,0.9649654515051972,53.07309983278584,0.08,0.743880887073633,71895.784528945
2038,T1_conservative,技术学习-保守,slow,低装机路径,256.0,0.08,0.7358834319924473,0.05,0.8280676500234385,0.01,0.9637090377994422,53.00399707896932,0.08,0.7358834319924473,72372.43405376449
2039,T1_conservative,技术学习-保守,slow,低装机路径,278.0,0.08,0.7286213797351225,0.05,0.8230310884571258,0.01,0.9625577104896703,52.94067407693187,0.08,0.7286213797351225,72812.54184974475
2040,T1_conservative,技术学习-保守,slow,低装机路径,300.0,0.08,0.7219764027387927,0.05,0.8184055445840274,0.01,0.9614953380098578,52.882243590542174,0.08,0.7219764027387927,73221.49074734181
2041,T1_conservative,技术学习-保守,slow,低装机路径,340.0,0.08,0.7111874592367758,0.05,0.8108603497573381,0.01,0.9597519874120067,52.78635930766037,0.08,0.7111874592367758,73898.54993117189
2042,T1_conservative,技术学习-保守,slow,低装机路径,380.0,0.08,0.7017352865709507,0.05,0.8042137423151016,0.01,0.9582054199219243,52.70129809570584,0.08,0.7017352865709507,74505.46725362049
2043,T1_conservative,技术学习-保守,slow,低装机路径,420.0,0.08,0.6933374248943838,0.05,0.7982795491892144,0.01,0.9568159122058674,52.62487517132271,0.08,0.6933374248943838,75055.84518913577
2044,T1_conservative,技术学习-保守,slow,低装机路径,460.0,0.08,0.6857913349181143,0.05,0.7929236078479445,0.01,0.9555546546240532,52.55550600432293,0.08,0.6857913349181143,75559.64279616892
2045,T1_conservative,技术学习-保守,slow,低装机路径,500.0,0.08,0.6789470065515891,0.05,0.7880461044617828,0.01,0.9544000895569233,52.49200492563078,0.08,0.6789470065515891,76024.37602957268
2046,T1_conservative,技术学习-保守,slow,低装机路径,540.0,0.08,0.6726903425836228,0.05,0.78357081025543,0.01,0.9533356666137915,52.433461663758536,0.08,0.6726903425836228,76455.86006692905
2047,T1_conservative,技术学习-保守,slow,低装机路径,580.0,0.08,0.6669326107233084,0.05,0.7794382201919829,0.01,0.9523484039833136,52.37916221908225,0.08,0.6669326107233084,76858.68884464623
2048,T1_conservative,技术学习-保守,slow,低装机路径,620.0,0.08,0.661603490553042,0.05,0.7756010127878663,0.01,0.9514279317828344,52.32853624805589,0.08,0.661603490553042,77236.55625622913
2049,T1_conservative,技术学习-保守,slow,低装机路径,660.0,0.08,0.6566463419155902,0.05,0.7720209495744538,0.01,0.9505658357887599,52.28112096838179,0.08,0.6566463419155902,77592.47797655997
2050,T1_conservative,技术学习-保守,slow,低装机路径,700.0,0.08,0.6520148960222183,0.05,0.768666699747022,0.01,0.9497551950578534,52.23653572818194,0.08,0.6520148960222183,77928.94872306874
2051,T1_conservative,技术学习-保守,slow,低装机路径,730.0,0.08,0.65,0.05,0.7662834037213001,0.01,0.9491774801013643,52.204761405575034,0.08,0.65,78169.80581317391
2052,T1_conservative,技术学习-保守,slow,低装机路径,760.0,0.08,0.65,0.05,0.7640030551993465,0.01,0.948623365722705,52.17428511474878,0.08,0.65,78401.66130362044
2053,T1_conservative,技术学习-保守,slow,低装机路径,790.0,0.08,0.65,0.05,0.761817397923756,0.01,0.9480910113394659,52.14500562367063,0.08,0.65,78625.18770015599
2054,T1_conservative,技术学习-保守,slow,低装机路径,820.0,0.08,0.65,0.05,0.7597191206007647,0.01,0.9475787831878201,52.116833075330106,0.08,0.65,78840.98402585063
2055,T1_conservative,技术学习-保守,slow,低装机路径,850.0,0.08,0.65,0.05,0.7577017186929732,0.01,0.9470852244829874,52.089687346564304,0.08,0.65,79049.58620743864
2056,T1_conservative,技术学习-保守,slow,低装机路径,880.0,0.08,0.65,0.05,0.7557593805172295,0.01,0.9466090307712743,52.06349669242009,0.08,0.65,79251.47568353667
2057,T1_conservative,技术学习-保守,slow,低装机路径,910.0,0.08,0.65,0.05,0.7538868927019384,0.01,0.9461490294265491,52.0381966184602,0.08,0.65,79447.08658867824
2058,T1_conservative,技术学习-保守,slow,低装机路径,940.0,0.08,0.65,0.05,0.7520795611922336,0.01,0.9457041624823613,52.01372893652987,0.08,0.65,79636.81178743234
2059,T1_conservative,技术学习-保守,slow,低装机路径,970.0,0.08,0.65,0.05,0.7503331448380574,0.01,0.9452734721692269,51.99004096930748,0.08,0.65,79821.00797308084
2060,T1_conservative,技术学习-保守,slow,低装机路径,1000.0,0.08,0.65,0.05,0.7486437992386936,0.01,0.9448560886613541,51.96708487637447,0.08,0.65,80000.0
2026,T2_base,技术学习-基准,base,基准装机路径,4.0,0.12,1.0,0.08,1.0,0.02,1.0,55.0,0.12,1.0,60000.0
2027,T2_base,技术学习-基准,base,基准装机路径,50.0,0.12,0.8445202829979936,0.08,0.8956330507611762,0.02,0.9736469392763845,53.550581660201146,0.12,0.8445202829979936,66988.19837835325
2028,T2_base,技术学习-基准,base,基准装机路径,80.0,0.12,0.7744,0.08,0.8464,0.02,0.9603999999999999,52.821999999999996,0.12,0.7744,70882.82838470624
2029,T2_base,技术学习-基准,base,基准装机路径,110.0,0.12,0.7302287514259078,0.08,0.8145891808236885,0.02,0.951527037339556,52.33398705367558,0.12,0.7302287514259078,73649.5533390882
2030,T2_base,技术学习-基准,base,基准装机路径,140.0,0.12,0.6984626002194622,0.08,0.7912971086764772,0.02,0.9448622117165486,51.96742164441017,0.12,0.6984626002194622,75816.4009651276
2031,T2_base,技术学习-基准,base,基准装机路径,196.0,0.12,0.6564377618852224,0.08,0.7599083537562843,0.02,0.9356412967347906,51.46027132041348,0.12,0.6564377618852224,78946.54657326921
2032,T2_base,技术学习-基准,base,基准装机路径,252.0,0.12,0.6267071277786038,0.08,0.7372788377871572,0.02,0.9288128597545352,51.08470728649944,0.12,0.6267071277786038,81368.50237244579
2033,T2_base,技术学习-基准,base,基准装机路径,308.0,0.12,0.6039375048108379,0.08,0.7196943692476628,0.02,0.9233962586858555,50.786794227722055,0.12,0.6039375048108379,83355.6387846257
2034,T2_base,技术学习-基准,base,基准装机路径,364.0,0.12,0.5856145717582995,0.08,0.7053759983466011,0.02,0.9189111553209047,50.54011354264976,0.12,0.5856145717582995,85046.85273687614
2035,T2_base,技术学习-基准,base,基准装机路径,420.0,0.12,0.5703615934014447,0.08,0.6933374248943838,0.02,0.9150864810738608,50.329756459062345,0.12,0.5703615934014447,86522.82966722983
2036,T2_base,技术学习-基准,base,基准装机路径,476.0,0.12,0.5573466371216439,0.08,0.6829764514932549,0.02,0.9117542831625961,50.14648557394278,0.12,0.5573466371216439,87834.77792488782
2037,T2_base,技术学习-基准,base,基准装机路径,532.0,0.12,0.55,0.08,0.6738992226102615,0.02,0.9088033249796763,49.9841828738822,0.12,0.55,89017.31884263919
2038,T2_base,技术学习-基准,base,基准装机路径,588.0,0.12,0.55,0.08,0.6658344828661888,0.02,0.9061561475942217,49.83858811768219,0.12,0.55,90094.9994331283
2039,T2_base,技术学习-基准,base,基准装机路径,644.0,0.12,0.55,0.08,0.6585877271933986,0.02,0.9037566617148166,49.70661639431491,0.12,0.55,91085.88217526149
2040,T2_base,技术学习-基准,base,基准装机路径,700.0,0.12,0.55,0.08,0.6520148960222183,0.02,0.901562956466218,49.58596260564199,0.12,0.55,92003.6603274089
2041,T2_base,技术学习-基准,base,基准装机路径,770.0,0.12,0.55,0.08,0.6445820635449248,0.02,0.8990619410087478,49.44840675548113,0.12,0.55,93064.06778098104
2042,T2_base,技术学习-基准,base,基准装机路径,840.0,0.12,0.55,0.08,0.6378704309028331,0.02,0.8967847514523837,49.3231613298811,0.12,0.55,94042.81238303486
2043,T2_base,技术学习-基准,base,基准装机路径,910.0,0.12,0.55,0.08,0.6317580573328767,0.02,0.8946950338451252,49.20822686148188,0.12,0.55,94952.2573765409
2044,T2_base,技术学习-基准,base,基准装机路径,980.0,0.12,0.55,0.08,0.6261511141997524,0.02,0.8927645991298879,49.102052952143836,0.12,0.55,95802.11092175
2045,T2_base,技术学习-基准,base,基准装机路径,1050.0,0.12,0.55,0.08,0.6209759130650548,0.02,0.8909711514707617,49.00341333089189,0.12,0.55,96600.14130008101
2046,T2_base,技术学习-基准,base,基准装机路径,1120.0,0.12,0.55,0.08,0.6161735629610687,0.02,0.8892967547699218,48.911321512345694,0.12,0.55,97352.6654489024
2047,T2_base,技术学习-基准,base,基准装机路径,1190.0,0.12,0.55,0.08,0.6116962828489464,0.02,0.8877267671733956,48.824972194536755,0.12,0.55,98064.89213584982
2048,T2_base,技术学习-基准,base,基准装机路径,1260.0,0.12,0.55,0.08,0.6075047911690487,0.02,0.886249082099338,48.74369951546359,0.12,0.55,98741.16890707868
2049,T2_base,技术学习-基准,base,基准装机路径,1330.0,0.12,0.55,0.08,0.6035664166520135,0.02,0.8848535757706633,48.666946667386476,0.12,0.55,99385.16356233062
2050,T2_base,技术学习-基准,base,基准装机路径,1400.0,0.12,0.55,0.08,0.5998537043404409,0.02,0.8835316973368936,48.59424335352915,0.12,0.55,100000.0
2051,T2_base,技术学习-基准,base,基准装机路径,1480.0,0.12,0.55,0.08,0.5958572153028636,0.02,0.8821018363310766,48.515600998209216,0.12,0.55,100000.0
2052,T2_base,技术学习-基准,base,基准装机路径,1560.0,0.12,0.55,0.08,0.592095730741454,0.02,0.8807494014074747,48.44121707741111,0.12,0.55,100000.0
2053,T2_base,技术学习-基准,base,基准装机路径,1640.0,0.12,0.55,0.08,0.5885443964803238,0.02,0.8794665377717811,48.37065957744796,0.12,0.55,100000.0
2054,T2_base,技术学习-基准,base,基准装机路径,1720.0,0.12,0.55,0.08,0.585182043484185,0.02,0.8782465237634541,48.303558806989976,0.12,0.55,100000.0
2055,T2_base,技术学习-基准,base,基准装机路径,1800.0,0.12,0.55,0.08,0.5819904989757245,0.02,0.8770835632748578,48.23959598011718,0.12,0.55,100000.0
2056,T2_base,技术学习-基准,base,基准装机路径,1880.0,0.12,0.55,0.08,0.5789540506592703,0.02,0.8759726235782244,48.17849429680234,0.12,0.55,100000.0
2057,T2_base,技术学习-基准,base,基准装机路径,1960.0,0.12,0.55,0.08,0.5760590250637723,0.02,0.8749093071472901,48.12001189310096,0.12,0.55,100000.0
2058,T2_base,技术学习-基准,base,基准装机路径,2040.0,0.12,0.55,0.08,0.5732934521077933,0.02,0.8738897492714869,48.063936209931775,0.12,0.55,100000.0
2059,T2_base,技术学习-基准,base,基准装机路径,2120.0,0.12,0.55,0.08,0.5706467956192758,0.02,0.8729105354792736,48.01007945136004,0.12,0.55,100000.0
2060,T2_base,技术学习-基准,base,基准装机路径,2200.0,0.12,0.55,0.08,0.5681097348807734,0.02,0.8719686343456744,47.958274889012095,0.12,0.55,100000.0
2026,T3_optimistic,技术学习-乐观,fast,高装机路径,4.0,0.18,1.0,0.12,1.0,0.03,1.0,55.0,0.18,1.0,60000.0
2027,T3_optimistic,技术学习-乐观,fast,高装机路径,70.0,0.18,0.6986039580831519,0.12,0.7937075002493889,0.03,0.9464372583705629,52.05404921038096,0.18,0.6986039580831519,68503.46291869802
2028,T3_optimistic,技术学习-乐观,fast,高装机路径,120.0,0.18,0.5987038354142816,0.12,0.7186042631854086,0.03,0.924283987160431,50.835619293823704,0.18,0.5987038354142816,72523.3815779101
2029,T3_optimistic,技术学习-乐观,fast,高装机路径,170.0,0.18,0.5418804362940464,0.12,0.6738951227482419,0.03,0.9102448303805373,50.06346567092955,0.18,0.5418804362940464,75245.72891775024
2030,T3_optimistic,技术学习-乐观,fast,高装机路径,220.0,0.18,0.5033208436097577,0.12,0.6426013012547989,0.03,0.8999900732406776,49.49945402823727,0.18,0.5033208436097577,77326.51653366047
2031,T3_optimistic,技术学习-乐观,fast,高装机路径,318.0,0.18,0.45293405481756094,0.12,0.6003891712079171,0.03,0.8855367486621393,48.70452117641766,0.18,0.45293405481756094,80400.09935985481
2032,T3_optimistic,技术学习-乐观,fast,高装机路径,416.0,0.18,0.45,0.12,0.5713690802054081,0.03,0.8751447357596428,48.132960466780354,0.18,0.41940436961144173,82717.92464722008
2033,T3_optimistic,技术学习-乐观,fast,高装机路径,514.0,0.18,0.45,0.12,0.5495075810947285,0.03,0.8670473569238918,47.68760463081405,0.18,0.4,84590.04647390016
2034,T3_optimistic,技术学习-乐观,fast,高装机路径,612.0,0.18,0.45,0.12,0.5321039257772663,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,86166.31287659382
2035,T3_optimistic,技术学习-乐观,fast,高装机路径,710.0,0.18,0.45,0.12,0.5177257916098373,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,87531.06430930481
2036,T3_optimistic,技术学习-乐观,fast,高装机路径,808.0,0.18,0.45,0.12,0.5055263593370387,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,88736.66078293722
2037,T3_optimistic,技术学习-乐观,fast,高装机路径,906.0,0.18,0.45,0.12,0.4949653523666488,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,89817.9256107718
2038,T3_optimistic,技术学习-乐观,fast,高装机路径,1004.0,0.18,0.45,0.12,0.48567801662948495,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,90799.23551619588
2039,T3_optimistic,技术学习-乐观,fast,高装机路径,1102.0,0.18,0.45,0.12,0.4774070885112507,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,91698.34434595837
2040,T3_optimistic,技术学习-乐观,fast,高装机路径,1200.0,0.18,0.45,0.12,0.4699646781489768,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,92528.59785951316
2041,T3_optimistic,技术学习-乐观,fast,高装机路径,1330.0,0.18,0.45,0.12,0.46113374019562986,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,93541.00177050683
2042,T3_optimistic,技术学习-乐观,fast,高装机路径,1460.0,0.18,0.45,0.12,0.453270526766205,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,94468.48738217534
2043,T3_optimistic,技术学习-乐观,fast,高装机路径,1590.0,0.18,0.45,0.12,0.4461959328441481,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,95324.8583644678
2044,T3_optimistic,技术学习-乐观,fast,高装机路径,1720.0,0.18,0.45,0.12,0.4397754207278667,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,96120.75914275255
2045,T3_optimistic,技术学习-乐观,fast,高装机路径,1850.0,0.18,0.45,0.12,0.4339054990503877,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,96864.5769297726
2046,T3_optimistic,技术学习-乐观,fast,高装机路径,1980.0,0.18,0.45,0.12,0.4285049420296165,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,97563.0420544161
2047,T3_optimistic,技术学习-乐观,fast,高装机路径,2110.0,0.18,0.45,0.12,0.42350889162204863,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,98221.64038489899
2048,T3_optimistic,技术学习-乐观,fast,高装机路径,2240.0,0.18,0.45,0.12,0.41886478048514647,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,98844.90444317563
2049,T3_optimistic,技术学习-乐观,fast,高装机路径,2370.0,0.18,0.45,0.12,0.4145294427460997,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,99436.62375820547
2050,T3_optimistic,技术学习-乐观,fast,高装机路径,2500.0,0.18,0.45,0.12,0.41046702166064514,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,100000.0
2051,T3_optimistic,技术学习-乐观,fast,高装机路径,2600.0,0.18,0.45,0.12,0.40750871765080987,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,100000.0
2052,T3_optimistic,技术学习-乐观,fast,高装机路径,2700.0,0.18,0.45,0.12,0.4046822056413872,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,100000.0
2053,T3_optimistic,技术学习-乐观,fast,高装机路径,2800.0,0.18,0.45,0.12,0.40197704881046403,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,100000.0
2054,T3_optimistic,技术学习-乐观,fast,高装机路径,2900.0,0.18,0.45,0.12,0.4,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,100000.0
2055,T3_optimistic,技术学习-乐观,fast,高装机路径,3000.0,0.18,0.45,0.12,0.4,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,100000.0
2056,T3_optimistic,技术学习-乐观,fast,高装机路径,3100.0,0.18,0.45,0.12,0.4,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,100000.0
2057,T3_optimistic,技术学习-乐观,fast,高装机路径,3200.0,0.18,0.45,0.12,0.4,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,100000.0
2058,T3_optimistic,技术学习-乐观,fast,高装机路径,3300.0,0.18,0.45,0.12,0.4,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,100000.0
2059,T3_optimistic,技术学习-乐观,fast,高装机路径,3400.0,0.18,0.45,0.12,0.4,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,100000.0
2060,T3_optimistic,技术学习-乐观,fast,高装机路径,3500.0,0.18,0.45,0.12,0.4,0.03,0.8653846153846154,47.59615384615385,0.18,0.4,100000.0
