year,tech_case_id,tech_case_cn,deployment_path_id,deployment_path_cn,cumulative_electrolyzer_gw,equipment_learning_rate,equipment_capex_factor,bop_epc_learning_rate,bop_epc_factor,energy_learning_rate,energy_consumption_factor,energy_consumption_kwh_per_kg,stack_cost_learning_rate,stack_cost_factor,stack_life_hours,energy_path_basis,life_path_basis,stack_learning_basis,deployment_interpretation
2043,T0_no_learning,无学习,base,基准装机路径,910.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2044,T0_no_learning,无学习,base,基准装机路径,980.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2045,T0_no_learning,无学习,base,基准装机路径,1050.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2046,T0_no_learning,无学习,base,基准装机路径,1120.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2047,T0_no_learning,无学习,base,基准装机路径,1190.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2048,T0_no_learning,无学习,base,基准装机路径,1260.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2049,T0_no_learning,无学习,base,基准装机路径,1330.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2050,T0_no_learning,无学习,base,基准装机路径,1400.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2051,T0_no_learning,无学习,base,基准装机路径,1480.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2052,T0_no_learning,无学习,base,基准装机路径,1560.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2053,T0_no_learning,无学习,base,基准装机路径,1640.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2054,T0_no_learning,无学习,base,基准装机路径,1720.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2055,T0_no_learning,无学习,base,基准装机路径,1800.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2056,T0_no_learning,无学习,base,基准装机路径,1880.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2057,T0_no_learning,无学习,base,基准装机路径,1960.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2058,T0_no_learning,无学习,base,基准装机路径,2040.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2059,T0_no_learning,无学习,base,基准装机路径,2120.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2060,T0_no_learning,无学习,base,基准装机路径,2200.0,0.0,1.0,0.0,1.0,,1.0,55.0,0.0,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2026,T1_conservative,技术学习-保守,slow,低装机路径,4.0,0.08,1.0,0.02,1.0,,1.0,55.0,0.08,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2027,T1_conservative,技术学习-保守,slow,低装机路径,35.0,0.08,0.7703389603287077,0.02,0.9387369392609517,,0.978572334065173,53.82147837358451,0.08,0.7703389603287077,67856.81084276992,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2028,T1_conservative,技术学习-保守,slow,低装机路径,50.0,0.08,0.73798587668651,0.02,0.929028595115026,,0.9750488106297042,53.62768458463373,0.08,0.73798587668651,69148.76943577515,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2029,T1_conservative,技术学习-保守,slow,低装机路径,65.0,0.08,0.7150580863089392,0.02,0.9219514448635986,,0.9724569643276563,53.4851330380211,0.08,0.7150580863089392,70099.11307985937,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2030,T1_conservative,技术学习-保守,slow,低装机路径,80.0,0.08,0.6974187090311188,0.02,0.9163887100714188,,0.9704057348248414,53.37231541536627,0.08,0.6974187090311188,70851.23056422485,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2031,T1_conservative,技术学习-保守,slow,低装机路径,102.0,0.08,0.6773315833031583,0.02,0.9099226877045886,,0.9680057160726456,53.24031438399551,0.08,0.6773315833031583,71731.23744002993,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2032,T1_conservative,技术学习-保守,slow,低装机路径,124.0,0.08,0.661603490553042,0.02,0.9047576347524253,,0.966076298327864,53.13419640803252,0.08,0.661603490553042,72438.69061311653,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2033,T1_conservative,技术学习-保守,slow,低装机路径,146.0,0.08,0.65,0.02,0.9004609261480626,,0.9644628413902271,53.04545627646249,0.08,0.65,73030.29149025009,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2034,T1_conservative,技术学习-保守,slow,低装机路径,168.0,0.08,0.65,0.02,0.8967847514523837,,0.9630762779447626,52.96919528696194,0.08,0.65,73538.6980869204,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2035,T1_conservative,技术学习-保守,slow,低装机路径,190.0,0.08,0.65,0.02,0.8935739685343855,,0.9618605908656176,52.90233249760897,0.08,0.65,73984.45001594021,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
